7zip 25.01-1
hytale-launcher-bin 2026.01.20.c4047e3-1
i2c-ch341-dkms 20210501-1
i2c-tools 4.4-3
i3-wm 4.25-1
i3blocks 1.5-4
i3lock-color 2.13.c.5-3
i3status 2.15-1
iana-etc 20251215-1
ibus 1.5.33-1
icu 78.1-1
iftop 1.0pre4-6
iio-sensor-proxy 3.8-1
ijs 0.35-6
imagemagick 7.1.2.12-1
imake 1.0.11-1
imath 3.2.2-2
imlib2 1.12.6-1
inetutils 2.6-1
iniparser 4.2.6-2
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
intltool 0.51.0-6
iotop 0.6-12
iperf3 3.20-1
iproute2 6.18.0-1
iptables-nft 1:1.8.11-2
iputils 20250605-1
iso-codes 4.20.1-1
itstool 1:2.0.7-3
iw 6.17-1
iwd 3.10-1
iwdgui 0.3.0-3
j4-dmenu-desktop 3.2-5
jadx 1.5.3-1
jansson 2.14.1-1
jasper 4.2.8-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jc 1.25.6-1
jdk-openjdk 25.0.1.u8-1
jdk17-openjdk 17.0.17.u10-1
jdk21-openjdk 21.0.9.u10-1
jdownloader2 latest-22
jemalloc 1:5.3.0-5
jgmenu 4.5.0-2
jq 1.8.1-1
jre8-openjdk 8.472.u08-2
jre8-openjdk-headless 8.472.u08-2
js115 115.31.0-1
js128 128.14.0-1
js140 140.6.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
kactivitymanagerd 6.5.4-1
karchive 6.21.0-1
karchive5 5.116.0-2
kauth 6.21.0-1
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.21.0-1
kbookmarks5 5.116.0-2
kcmutils 6.21.0-1
kcodecs 6.21.0-1
kcodecs5 5.116.0-2
kcolorscheme 6.21.0-1
kcompletion 6.21.0-1
kcompletion5 5.116.0-2
kconfig 6.21.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.21.0-1
kconfigwidgets5 5.116.0-3
kcoreaddons 6.21.0-1
kcoreaddons5 5.116.0-2
kcrash 6.21.0-1
kcrash5 5.116.0-2
kdbusaddons 6.21.0-1
kdbusaddons5 5.116.0-2
kde-cli-tools 6.5.4-1
kdeclarative 6.21.0-1
kdecoration 6.5.4-1
kded 6.21.0-1
kded5 5.116.0-2
kdegraphics-mobipocket 25.12.0-1
kdegraphics-thumbnailers 25.12.0-1
